queryCost,latitude,longitude,resolvedAddress,address,timezone,tzoffset,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,description,icon
1,39.4415,-123.8033,"39.4415,-123.8033","39.4415,-123.8033",America/Los_Angeles,-8.0,56.0,47.9,52.7,47.7,83.28,0.59,,54.17,,0.0,0.0,28.9,18.3,125.0,1006.5,94.5,9.1,,,0.0,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,49.8894,6.1098,"49.8894,6.1098","49.8894,6.1098",Europe/Luxembourg,2.0,61.3,52.9,56.2,49.4,79.12,0.12,,8.33,,,,,6.8,319.3,1027.1,85.4,6.7,,,0.0,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
1,20.6479,-156.0898,"20.6479,-156.0898","20.6479,-156.0898",Pacific/Honolulu,-10.0,90.0,71.9,80.0,67.4,69.28,0.0,,0.0,,,,33.3,27.7,,1015.9,38.8,9.4,,,0.0,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
1,4.8081,-75.6941,"4.8081,-75.6941","4.8081,-75.6941",America/Bogota,-5.0,75.3,64.5,67.9,64.2,88.56,0.27,,11.11,,,,,6.9,,,81.7,4.4,,,0.0,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
1,36.0739,-86.8931,"36.0739,-86.8931","36.0739,-86.8931",America/Chicago,-5.0,73.9,66.4,70.3,67.6,91.23,6.67,,79.17,,,,40.1,17.8,211.5,1005.7,97.9,6.8,,,0.0,0.59,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,4.479,101.479,"4.479,101.479","4.479,101.479",Asia/Kuala_Lumpur,8.0,105.2,65.9,85.0,75.0,86.76,0.71,,16.67,,,,,11.4,122.1,1010.0,86.1,6.0,,,0.0,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
1,-7.4343,110.2707,"-7.4343,110.2707","-7.4343,110.2707",Asia/Jakarta,7.0,99.1,77.3,89.8,75.4,78.42,0.46,,11.76,,,,,18.3,251.2,1009.2,70.1,4.4,,,0.0,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
1,10.7137,-61.5705,"10.7137,-61.5705","10.7137,-61.5705",America/Port_of_Spain,-4.0,105.1,76.7,82.0,75.9,89.31,1.89,,8.33,,,,,0.0,0.0,1010.3,88.7,6.3,,,0.0,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
1,45.713,-122.7251,"45.713,-122.7251","45.713,-122.7251",America/Los_Angeles,-8.0,56.9,45.5,50.5,48.6,89.77,0.99,,70.83,,0.0,0.0,25.3,10.4,132.2,998.3,90.5,8.4,,,0.0,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,13.6042,123.52,"13.6042,123.52","13.6042,123.52",Asia/Manila,8.0,95.5,76.9,84.6,76.9,89.95,1.36,,75.0,,,,,7.5,126.6,1010.6,83.4,10.4,,,0.0,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
1,27.6615,120.564,"27.6615,120.564","27.6615,120.564",Asia/Shanghai,8.0,89.1,78.9,84.5,77.7,92.27,3.03,,62.5,,,,49.8,20.3,110.9,1002.0,62.5,4.2,,,0.0,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
1,14.4651,-90.7426,"14.4651,-90.7426","14.4651,-90.7426",America/Guatemala,-6.0,66.9,64.7,65.7,64.8,97.25,0.0,,0.0,,,,30.0,20.8,151.1,,98.2,3.3,,,0.0,0.52,Overcast,Cloudy skies throughout the day.,cloudy
1,14.6367,-90.4847,"14.6367,-90.4847","14.6367,-90.4847",America/Guatemala,-6.0,78.8,60.0,70.1,60.9,74.14,0.0,,0.0,,,,,20.8,236.7,1011.7,79.2,7.4,,,0.0,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
1,34.8067,73.5654,"34.8067,73.5654","34.8067,73.5654",Asia/Karachi,5.0,44.7,41.0,43.2,40.3,86.62,1.49,,71.43,,,,,6.9,294.0,,92.0,4.2,,,0.0,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,25.3056,93.1265,"25.3056,93.1265","25.3056,93.1265",Asia/Kolkata,5.5,0.0,0.0,94.6,72.9,81.0,1.84,60.0,25.0,,,,,0.7,230.0,1003.8,35.8,1.8,,,,0.49,"Rain, Partially cloudy",,rain
1,43.6218,-73.1988,"43.6218,-73.1988","43.6218,-73.1988",America/New_York,-4.0,52.5,37.0,42.9,35.5,67.77,0.0,,0.0,,0.0,0.0,25.5,12.1,255.6,1018.4,30.1,9.9,,,0.0,0.98,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
1,43.6691,-123.6525,"43.6691,-123.6525","43.6691,-123.6525",America/Los_Angeles,-8.0,50.9,42.2,46.2,44.5,87.82,1.33,,100.0,,0.0,0.0,34.4,14.3,147.0,1010.5,92.1,8.0,,,0.0,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,1.2827,35.447,"1.2827,35.447","1.2827,35.447",Africa/Nairobi,3.0,71.7,63.2,66.4,61.4,84.62,0.4,,40.0,,,,,6.9,300.0,,70.0,18.6,,,0.0,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
1,36.3969,-119.8086,"36.3969,-119.8086","36.3969,-119.8086",America/Los_Angeles,-8.0,44.6,36.5,40.6,41.2,88.53,0.35,,54.17,,,,31.1,21.2,155.8,986.5,77.0,8.5,,,0.0,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
1,33.1463,75.7454,"33.1463,75.7454","33.1463,75.7454",Asia/Kolkata,5.5,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,0.9,,,
1,47.5326,-122.0695,"47.5326,-122.0695","47.5326,-122.0695",America/Los_Angeles,-8.0,57.9,48.7,54.8,52.5,92.02,2.33,,75.0,,,,29.7,15.4,168.5,1013.4,99.4,6.2,,,0.0,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,47.8734,13.8188,"47.8734,13.8188","47.8734,13.8188",Europe/Vienna,1.0,40.8,20.4,33.0,34.3,89.15,0.03,,8.33,,,,44.7,17.7,,1015.4,49.4,10.9,,,0.0,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
1,44.3998,-123.8597,"44.3998,-123.8597","44.3998,-123.8597",America/Los_Angeles,-8.0,44.6,35.4,40.2,41.3,83.6,0.39,,58.33,,0.0,0.0,30.0,20.0,207.8,992.5,65.5,8.9,,,0.0,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
1,39.5166,-111.1548,"39.5166,-111.1548","39.5166,-111.1548",America/Denver,-6.0,81.0,60.6,69.3,52.9,62.19,0.18,,20.83,,,,30.0,21.9,98.0,1013.3,19.0,9.8,,,0.0,0.88,Rain,Clear conditions throughout the day with rain.,rain
1,45.3853,-92.6751,"45.3853,-92.6751","45.3853,-92.6751",America/Chicago,-6.0,41.5,30.6,37.2,40.6,95.25,0.2,,37.5,,,,18.3,13.2,82.1,,99.4,3.4,,,0.0,0.92,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
